model,first_flight,seats,co2_mi_seat,co2_mi
Boeing 787-9,2013,304,0.189981748,57.75445146
Airbus A350-900,2013,315,0.197736105,62.28687317
Boeing 777-9X,2020,395,0.199774622,78.91097563
Airbus A330neo-900,2017,300,0.203980403,61.19412101
Airbus A330neo-800,2017,248,0.22532719,55.88114306
Boeing 787-8,2011,243,0.227978098,55.39867778
Boeing 747-8,2011,467,0.233471546,109.031212
Boeing 777-300ER,2003,365,0.239236276,87.32124057
Boeing 777-200ER,1996,301,0.254975504,76.74762676
Airbus A380,2005,544,0.261866734,142.4555033
Boeing 777-200LR,2005,291,0.26914081,78.3199757
Airbus A330-200,1997,241,0.272931526,65.77649767
Boeing 747-400,1988,416,0.276830547,115.1615077
Airbus A340-300,1992,262,0.287509471,75.3274813
