model,first_flight,seats,co2_mi_seat,co2_mi
Boeing 737 MAX-8,2017,168,0.176164894,29.59570216
Boeing 787-8,2009,291,0.186328253,54.22152164
Irkut MC-21,2017,163,0.191862756,31.27362917
Boeing 787-9,2013,304,0.195738771,59.50458635
Airbus A320,1987,150,0.199774622,29.96619328
Airbus A321NeoLR,2016,154,0.199774622,30.76529176
Airbus A330neo-900,2016,310,0.199774622,61.93013277
Boeing 767-400ER,1999,304,0.199980788,60.79415943
Boeing 737 MAX-9,2017,144,0.208367079,30.00485933
Boeing 767-300ER,1988,269,0.210631938,56.65999139
Boeing 747-8,2011,467,0.217731891,101.6807932
Boeing 777-300,1997,368,0.220206117,81.03585115
Boeing 767-200ER,1984,224,0.22532719,50.4732905
Boeing 777-200,1994,305,0.230692123,70.36109747
Boeing 777-200ER,1996,301,0.239236276,72.01011894
Airbus A330-300,1992,262,0.24529289,64.26673721
Boeing 757-200W,1981,158,0.248437671,39.25315198
Airbus A330-200,1997,241,0.254975504,61.44909651
Boeing 747-400,1988,416,0.26545395,110.428843
Airbus A340-300,1992,262,0.26914081,70.51489222
