CO2 per mi,CO2 per mi per seat,First flight,Fuel burn,Fuel per seat,Max Range,Model,Seats,Sector,Score
20.5988084490607,0.152583766289339,2015,2.30 kg/km (8.17 lb/mi),1.85 L/100 km (127 mpg‑US)[29],1000,Airbus A220-300,135,,9.98981854226075
21.601859109421802,0.158837199333984,2015,2.4 kg/km (8.6 lb/mi),1.93 L/100 km (122 mpg‑US)[29],1000,Airbus A319Neo,136,,9.835673959809945
22.4209864844995,0.160149903460711,2017,2.51 kg/km (8.91 lb/mi),1.94 L/100 km (121 mpg‑US)[29],1000,Boeing 737 MAX-7,140,,9.80331633671697
26.2754417881302,0.164221511175814,2015,2.56 kg/km (9.08 lb/mi),2.00 L/100 km (118 mpg‑US)[54],1000,Airbus A220-300,160,,9.70295286169976
30.0695249773645,0.167052916540914,2017,2.91 kg/km (10.3 lb/mi),2.02 L/100 km (116 mpg‑US)[61],1000,Boeing 737 MAX-9,180,,9.633159870452168
27.2978991968422,0.168505550597791,2017,2.71 kg/km (9.6 lb/mi),2.04 L/100 km (115 mpg‑US)[61],1000,Boeing 737 MAX-8,162,,9.597353031464284
29.5957021595394,0.176164893806782,2017,2.86 kg/km (10.1 lb/mi),2.13 L/100 km (110 mpg‑US)[68],3400,Boeing 737 MAX-8,168,"3,400 nmi (6,300 km)",9.40855333498263
34.6424819106074,0.180429593284413,2015,3.30 kg/km (11.7 lb/mi),2.19 L/100 km (107.4 mpg‑US)[48],684,Airbus A321neo,192,"660 nmi (1,220 km)",9.30343022651335
29.528591723803395,0.184553698273772,2015,2.85 kg/km (10.11 lb/mi),2.23 L/100 km (105 mpg‑US)[54],684,Airbus A220-300,160,500 nmi (930 km),9.201772715026538
28.502705836550998,0.185082505432149,2015,2.79 kg/km (9.9 lb/mi),2.25 L/100 km (104.7 mpg‑US)[48],684,Airbus A320neo,154,"660 nmi (1,220 km)",9.188737833539347
54.2215216418758,0.186328253064865,2009,5.26 kg/km (18.7 lb/mi),2.26 L/100 km (104 mpg‑US)[68],3400,Boeing 787-8,291,"3,400 nmi (6,300 km)",9.158030660805082
31.1702612491457,0.187772658127384,2017,3.04 kg/km (10.8 lb/mi),2.28 L/100 km (103.2 mpg‑US)[48],684,Boeing 737 MAX 8,166,"660 nmi (1,220 km)",9.122426663182932
33.864707741497895,0.188137265230544,2017,3.30 kg/km (11.7 lb/mi),2.28 L/100 km (103 mpg‑US)[48],684,Boeing 737 MAX 9,180,"660 nmi (1,220 km)",9.11343924630744
23.517158153818002,0.188137265230544,2013,2.28 kg/km (8.1 lb/mi),2.28 L/100 km (103 mpg‑US)[53],1000,Airbus A220-100,125,,9.11343924630744
57.754451459792,0.189981748223,2013,5.63 kg/km (20.0 lb/mi),2.31 L/100 km (102 mpg‑US)[67],7200,Boeing 787-9,304,"4,972 nmi (9,208 km)",9.067973490349084
31.273629167877196,0.191862755631149,2017,3.04 kg/km (10.8 lb/mi),2.33 L/100 km (101 mpg‑US)[72],3400,Irkut MC-21,163,"1,750 nmi (3,240 km)",9.021607422391536
57.35145987265229,0.195738770896424,1997,5.6 kg/km (19.8 lb/mi),2.37 L/100 km (99 mpg‑US)[60],1000,Airbus A330-200,293,,8.926065221751779
35.2329787613564,0.195738770896424,2006,3.42 kg/km (12.1 lb/mi),2.38 L/100 km (99 mpg‑US)[50],1000,Boeing 737-900ER,180,,8.926065221751779
35.2329787613564,0.195738770896424,2006,3.42 kg/km (12.1 lb/mi),2.37 L/100 km (99 mpg‑US)[61],1000,Boeing 737-900ERW,180,,8.926065221751779
59.504586352513,0.195738770896424,2013,5.77 kg/km (20.5 lb/mi),2.37 L/100 km (99 mpg‑US)[67],3400,Boeing 787-9,304,"3,350 nmi (6,200 km)",8.926065221751779
48.0498735862784,0.197736105293327,1998,4.68 kg/km (16.62 lb/mi),2.40 L/100 km (98 mpg‑US)[51],1000,Boeing 757-300,243,,8.876831740809838
62.2868731673979,0.197736105293327,2013,6.03 kg/km (21.4 lb/mi),2.39 L/100 km (98 mpg‑US)[67],7200,Airbus A350-900,315,"4,972 nmi (9,208 km)",8.876831740809838
29.9661932764113,0.199774621842742,1987,2.91 kg/km (10.3 lb/mi),2.43 L/100 km (97 mpg‑US)[64],3400,Airbus A320,150,"2,151 nmi (3,984 km)",8.82658313654954
30.7652917637823,0.199774621842742,2016,2.99 kg/km (10.6 lb/mi),2.43 L/100 km (97 mpg‑US)[65],3400,Airbus A321NeoLR,154,"3,400 nmi (6,300 km)",8.82658313654954
61.93013277125011,0.199774621842742,2016,6 kg/km (21 lb/mi),2.42 L/100 km (97 mpg‑US)[67],3400,Airbus A330neo-900,310,"3,350 nmi (6,200 km)",8.82658313654954
78.9109756278832,0.199774621842742,2020,7.69 kg/km (27.3 lb/mi),2.42 L/100 km (97 mpg‑US)[76],7200,Boeing 777-9X,395,"7,200 nmi (13,300 km)",8.82658313654954
60.794159431359994,0.199980787603158,1999,5.92 kg/km (21 lb/mi),2.43 L/100 km (96.9 mpg‑US)[49],3400,Boeing 767-400ER,304,"3,265 nmi (6,047 km)",8.821501234364277
32.700608412883895,0.201855607486938,1997,3.17 kg/km (11.2 lb/mi),2.44 L/100 km (96 mpg‑US)[50],1000,Boeing 737-800,162,,8.775287686367117
32.700608412883895,0.201855607486938,1997,3.18 kg/km (11.3 lb/mi),2.45 L/100 km (96 mpg‑US)[61],1000,Boeing 737-800W,162,,8.775287686367117
61.364104676028994,0.201855607486938,1999,5.93 kg/km (21.0 lb/mi),2.44 L/100 km (96 mpg‑US)[70],3400,Boeing 767-400ER,304,"3,000 nmi (5,600 km)",8.775287686367117
61.1941210065663,0.203980403355221,2017,5.94 kg/km (21.1 lb/mi),2.48 L/100 km (95 mpg‑US)[74],7200,Airbus A330neo-900,300,"4,650 nmi (8,610 km)",8.722912331970358
16.0797317964063,0.206150407646234,2019,1.56 kg/km (5.5 lb/mi),2.50 L/100 km (94 mpg‑US)[46],684,Xian MA700,78,"650 nmi (1,200 km)",8.669422608331102
37.10707337632209,0.206150407646234,1996,3.61 kg/km (12.8 lb/mi),2.50 L/100 km (94 mpg‑US)[60],1000,Airbus A321-200,180,,8.669422608331102
60.60821984799279,0.206150407646234,2013,5.85 kg/km (20.8 lb/mi),2.49 L/100 km (94 mpg‑US)[74],7200,Boeing 787-9,294,"4,650 nmi (8,610 km)",8.669422608331102
14.585695508733599,0.208367078696194,1997,1.42 kg/km (5.0 lb/mi),2.53 L/100 km (93 mpg‑US)[36],300,ATR 72-500,70,,8.614782568054432
30.004859332251897,0.208367078696194,2017,2.91 kg/km (10.3 lb/mi),2.53 L/100 km (93 mpg‑US)[65],3400,Boeing 737 MAX-9,144,"3,400 nmi (6,300 km)",8.614782568054432
26.3289922809049,0.210631938247239,2013,2.57 kg/km (9.1 lb/mi),2.57 L/100 km (92 mpg‑US)[53],684,Airbus A220-100,125,500 nmi (930 km),8.55895470081525
56.6599913885073,0.210631938247239,1988,5.51 kg/km (19.5 lb/mi),2.56 L/100 km (92 mpg‑US)[70],3400,Boeing 767-300ER,269,"3,000 nmi (5,600 km)",8.55895470081525
42.68312405010129,0.213415620250507,1982,4.16 kg/km (14.76 lb/mi),2.59 L/100 km (90.8 mpg‑US)[51],1000,Boeing 757-200,200,,8.490338071036668
32.29689719791,0.215312647986067,1987,3.13 kg/km (11.1 lb/mi),2.61 L/100 km (90 mpg‑US)[60],1000,Airbus A320,150,,8.443577108520904
101.680793200611,0.217731891221865,2011,9.9 kg/km (35 lb/mi),2.65 L/100 km (89 mpg‑US)[69],3400,Boeing 747-8,467,"3,000 nmi (5,600 km)",8.383943746211482
53.2679594056027,0.219209709488077,1998,5.19 kg/km (18.41 lb/mi),2.66 L/100 km (88.4 mpg‑US)[51],684,Boeing 757-300,243,500 nmi (930 km),8.34751612670119
