model,first_flight,seats,co2_mi_seat,co2_mi
Airbus A220-300,2015,135,0.152583766,20.59880845
Airbus A319Neo,2015,136,0.158837199,21.60185911
Boeing 737 MAX-7,2017,140,0.160149903,22.42098648
Boeing 737 MAX-9,2017,180,0.167052917,30.06952498
Boeing 737 MAX-8,2017,162,0.168505551,27.2978992
Airbus A220-100,2013,125,0.188137265,23.51715815
Airbus A330-200,1997,293,0.195738771,57.35145987
Boeing 737-900ER,2006,180,0.195738771,35.23297876
Boeing 737-900ERW,2006,180,0.195738771,35.23297876
Boeing 757-300,1998,243,0.197736105,48.04987359
Boeing 737-800,1997,162,0.201855607,32.70060841
Boeing 737-800W,1997,162,0.201855607,32.70060841
Airbus A321-200,1996,180,0.206150408,37.10707338
Boeing 757-200,1982,200,0.21341562,42.68312405
Airbus A320,1987,150,0.215312648,32.2968972
Boeing 737-700,1997,126,0.230692123,29.06720748
Airbus A319,1995,124,0.242226729,30.03611439
Boeing 737-600,1998,110,0.258375178,28.42126953
Antonov An-158 (1190 nmi),2010,99,0.294053692,29.11131553
Antonov An-148 (1190 nmi),2004,89,0.318196032,28.3194468
Quest Kodiak,2004,9,0.516750355,4.650753196
