Model,First flight,Seats,Fuel burn,Fuel per seat,CO2 per mi per seat,CO2 per mi
Antonov An-148 (241 nmi),2004,89,4.23 kg/km (15.0 lb/mi),5.95 L/100 km (39.5 mpg‑US)[35],0.49058578022141786,43.662134439706186
Antonov An-158 (241 nmi),2010,99,4.34 kg/km (15.4 lb/mi),5.47 L/100 km (43.0 mpg‑US)[35],0.450654379505721,44.61478357106638
ATR 42-500,1995,48,1.26 kg/km (4.5 lb/mi),3.15 L/100 km (75 mpg‑US)[36],0.2583751775832801,12.402008523997445
ATR 72-500,1997,70,1.42 kg/km (5.0 lb/mi),2.53 L/100 km (93 mpg‑US)[36],0.20836707869619364,14.585695508733554
Beechcraft 1900D (226 nm),1982,19,1.00 kg/km (3.56 lb/mi),6.57 L/100 km (35.8 mpg‑US)[37],0.5412887798532404,10.284486817211569
Bombardier CRJ100,1991,50,2.21 kg/km (7.83 lb/mi),5.50 L/100 km (42.8 mpg‑US)[38],0.4527602410921965,22.638012054609824
Bombardier CRJ200,1995,50,2.18 kg/km (7.73 lb/mi),5.43 L/100 km (43.3 mpg‑US)[38],0.44753206278859137,22.37660313942957
Bombardier CRJ700,1999,70,2.95 kg/km (10.47 lb/mi),5.25 L/100 km (44.8 mpg‑US)[38],0.43254773032915195,30.278341123040637
Bombardier CRJ900,2001,88,3.47 kg/km (12.31 lb/mi),4.91 L/100 km (47.9 mpg‑US)[38],0.40455403588196254,35.6007551576127
Bombardier Dash 8 Q400,1998,78,2.16 kg/km (7.7 lb/mi),3.46 L/100 km (68.0 mpg‑US)[39],0.2849726223345001,22.22786454209101
Dornier 228,1981,19,0.94 kg/km (3.3 lb/mi),6.22 L/100 km (37.8 mpg‑US)[40],0.5126491618715875,9.740334075560162
Dornier 328,1991,32,1.22 kg/km (4.3 lb/mi),4.76 L/100 km (49.4 mpg‑US)[41],0.3922700064523483,12.552640206475145
Embraer Brasilia,1983,30,0.92 kg/km (3.3 lb/mi),3.82 L/100 km (61.6 mpg‑US)[42],0.3145801675121105,9.437405025363315
Embraer ERJ-135ER (309 nmi),1998,37,1.64 kg/km (5.83 lb/mi),5.52 L/100 km (42.6 mpg‑US)[43],0.4548858760269015,16.830777412995356
Embraer ERJ-145ER (305 nmi),1995,50,1.76 kg/km (6.23 lb/mi),4.37 L/100 km (53.8 mpg‑US)[43],0.360188444586357,18.00942222931785
Saab 340,1983,32,1.1 kg/km (3.9 lb/mi),4.29 L/100 km (54.8 mpg‑US)[44],0.35361566275083955,11.315701208026866
Saab 2000,1992,50,1.75 kg/km (6.2 lb/mi),4.39 L/100 km (53.6 mpg‑US)[45],0.3615324313198881,18.076621565994405
Xian MA700,2019,78,1.69 kg/km (6.0 lb/mi),2.71 L/100 km (87 mpg‑US)[46],0.2227372220545518,17.37350332025504
