Model,First flight,Seats,Sector,Fuel burn,Fuel per seat,CO2 per mi per seat,CO2 per mi
Airbus A319neo,2015,144,"600 nmi (1,100 km)",3.37 kg/km (11.94 lb/mi),2.92 L/100 km (80.6 mpg‑US)[47],0.24042355234176185,34.620991537213705
Airbus A319neo,2015,124,"660 nmi (1,220 km)",2.82 kg/km (10 lb/mi),2.82 L/100 km (83.5 mpg‑US)[48],0.2320735127993534,28.777115587119823
Airbus A320neo,2015,154,"660 nmi (1,220 km)",2.79 kg/km (9.9 lb/mi),2.25 L/100 km (104.7 mpg‑US)[48],0.18508250543214905,28.502705836550952
Airbus A321neo,2015,192,"660 nmi (1,220 km)",3.30 kg/km (11.7 lb/mi),2.19 L/100 km (107.4 mpg‑US)[48],0.18042959328441344,34.64248191060738
Antonov An-148,2004,89,"684 nmi (1,267 km)",2.89 kg/km (10.3 lb/mi),4.06 L/100 km (57.9 mpg‑US)[35],0.3346828725172022,29.786775654030993
Antonov An-158,2010,99,"684 nmi (1,267 km)",3 kg/km (11 lb/mi),3.79 L/100 km (62.1 mpg‑US)[35],0.3120473159218358,30.892684276261747
Boeing 737-300,1984,126,507 nmi (939 km),3.49 kg/km (12.4 lb/mi),3.46 L/100 km (68 mpg‑US)[49],0.2849726223345001,35.90655041414701
Boeing 737-600,1998,110,500 nmi (930 km),3.16 kg/km (11.2 lb/mi),3.59 L/100 km (65.5 mpg‑US)[50],0.295849439980855,32.54343839789405
Boeing 737-700,1997,126,500 nmi (930 km),3.21 kg/km (11.4 lb/mi),3.19 L/100 km (74 mpg‑US)[50],0.2618667340371082,32.99520848867563
Boeing 737 MAX 7,2017,128,"660 nmi (1,220 km)",2.85 kg/km (10.1 lb/mi),2.77 L/100 km (84.8 mpg‑US)[48],0.22851578206068404,29.250020103767557
Boeing 737 MAX 7,2017,144,"600 nmi (1,100 km)",3.39 kg/km (12.01 lb/mi),2.93 L/100 km (80.2 mpg‑US)[47],0.24162267230356613,34.79366481171352
Boeing 737-800,1997,162,500 nmi (930 km),3.59 kg/km (12.7 lb/mi),2.77 L/100 km (85 mpg‑US)[50],0.22797809786760007,36.93245185455121
Boeing 737 MAX 8,2017,166,"660 nmi (1,220 km)",3.04 kg/km (10.8 lb/mi),2.28 L/100 km (103.2 mpg‑US)[48],0.18777265812738378,31.170261249145707
Boeing 737-900ER,2006,180,500 nmi (930 km),3.83 kg/km (13.6 lb/mi),2.66 L/100 km (88 mpg‑US)[50],0.22020611725847739,39.63710110652593
Boeing 737 MAX 9,2017,180,"660 nmi (1,220 km)",3.30 kg/km (11.7 lb/mi),2.28 L/100 km (103 mpg‑US)[48],0.18813726523054372,33.86470774149787
Boeing 757-200,1982,200,500 nmi (930 km),4.68 kg/km (16.61 lb/mi),2.91 L/100 km (80.7 mpg‑US)[51],0.24012562972423798,48.025125944847595
Boeing 757-300,1998,243,500 nmi (930 km),5.19 kg/km (18.41 lb/mi),2.66 L/100 km (88.4 mpg‑US)[51],0.21920970948807697,53.2679594056027
Bombardier CRJ100,1991,50,"577 nmi (1,069 km)",1.87 kg/km (6.65 lb/mi),4.68 L/100 km (50.3 mpg‑US)[38],0.3852512588219882,19.26256294109941
Bombardier CRJ200,1995,50,"580 nmi (1,070 km)",1.80 kg/km (6.39 lb/mi),4.49 L/100 km (52.4 mpg‑US)[38],0.3698117999760689,18.490589998803443
Bombardier CRJ700,1999,70,"574 nmi (1,063 km)",2.45 kg/km (8.68 lb/mi),4.36 L/100 km (54 mpg‑US)[38],0.3588544133101112,25.119808931707784
Bombardier CRJ900,2001,88,"573 nmi (1,061 km)",2.78 kg/km (9.88 lb/mi),3.94 L/100 km (59.7 mpg‑US)[38],0.3245919316372865,28.564089984081214
Bombardier CRJ1000,2009,100,500 nmi (930 km),2.66 kg/km (9.4 lb/mi),3.33 L/100 km (71 mpg‑US)[52],0.2729315256161409,27.293152561614093
Airbus A220 100,2013,115,"600 nmi (1,100 km)",2.8 kg/km (10.1 lb/mi),3.07 L/100 km (76.7 mpg‑US)[47],0.2526484787320209,29.054575054182404
Airbus A220 300,2015,140,"600 nmi (1,100 km)",3.10 kg/km (11.01 lb/mi),2.75 L/100 km (85.6 mpg‑US)[47],0.22638012054609824,31.693216876453754
Airbus A220-100,2013,125,500 nmi (930 km),2.57 kg/km (9.1 lb/mi),2.57 L/100 km (92 mpg‑US)[53],0.2106319382472392,26.3289922809049
Airbus A220-300,2015,160,500 nmi (930 km),2.85 kg/km (10.11 lb/mi),2.23 L/100 km (105 mpg‑US)[54],0.1845536982737715,29.528591723803437
Bombardier Dash 8 Q400,1998,82,"600 nmi (1,100 km)",1.83 kg/km (6.5 lb/mi),2.79 L/100 km (84 mpg‑US)[55],0.23069212284221435,18.916754073061576
Dornier 328,1991,31,"600 nmi (1,100 km)",1.08 kg/km (3.8 lb/mi),4.35 L/100 km (54.1 mpg‑US)[56],0.35819109646480596,11.103923990408985
Embraer E-Jet E2-175,2020,88,"600 nmi (1,100 km)",2.44 kg/km (8.64 lb/mi),3.44 L/100 km (68.3 mpg‑US)[47],0.2837209124267351,24.967440293552688
Embraer E-Jet E2-190,2018,106,"600 nmi (1,100 km)",2.83 kg/km (10.04 lb/mi),3.32 L/100 km (70.8 mpg‑US)[47],0.27370251862635603,29.01246697439374
Embraer E-Jet E2-195,2019,132,"600 nmi (1,100 km)",3.07 kg/km (10.91 lb/mi),2.90 L/100 km (81 mpg‑US)[47],0.2392362755400741,31.57918837128978
Embraer E-Jet-170,2002,80,"606 nmi (1,122 km)",2.6 kg/km (9.3 lb/mi),4.08 L/100 km (57.7 mpg‑US)[57],0.33584295179802437,26.86743614384195
Embraer E-Jet-175,2005,88,"605 nmi (1,120 km)",2.80 kg/km (9.95 lb/mi),3.97 L/100 km (59.3 mpg‑US)[57],0.3267814219012817,28.75676512731279
Embraer E-Jet-190,2004,114,"607 nmi (1,124 km)",3.24 kg/km (11.48 lb/mi),3.54 L/100 km (66.5 mpg‑US)[57],0.2914005762217444,33.21966568927886
Embraer E-Jet-195,2004,122,"607 nmi (1,124 km)",3.21 kg/km (11.38 lb/mi),3.28 L/100 km (71.8 mpg‑US)[57],0.2698905058321171,32.926641711518286
Embraer ERJ-135ER,1998,37,"596 nmi (1,104 km)",1.44 kg/km (5.12 lb/mi),4.86 L/100 km (48.4 mpg‑US)[43],0.40037475865177696,14.813866070115747
Embraer ERJ-145ER,1996,50,"598 nmi (1,107 km)",1.55 kg/km (5.49 lb/mi),3.86 L/100 km (61 mpg‑US)[43],0.31767439866796726,15.883719933398362
Pilatus PC-12,1991,9,500 nmi (930 km),0.41 kg/km (1.5 lb/mi),5.66 L/100 km (41.6 mpg‑US)[58],0.46582063266216356,4.192385693959472
Saab 340,1983,31,500 nmi (930 km),0.95 kg/km (3.4 lb/mi),3.83 L/100 km (61.4 mpg‑US)[44],0.3156048586114985,9.783750616956453
Saab 2000,1992,50,500 nmi (930 km),1.54 kg/km (5.5 lb/mi),3.85 L/100 km (61.1 mpg‑US)[45],0.3171544733018986,15.85772366509493
Sukhoi SSJ100,2008,98,500 nmi (930 km),2.81 kg/km (10.0 lb/mi),3.59 L/100 km (65.5 mpg‑US)[59],0.295849439980855,28.99324511812379
Xian MA700,2019,78,"650 nmi (1,200 km)",1.56 kg/km (5.5 lb/mi),2.50 L/100 km (94 mpg‑US)[46],0.20615040764623407,16.079731796406257
